iter	Passed	Remaining
0	1	103
1	1	96
2	2	94
3	3	93
4	5	104
5	6	99
6	7	95
7	8	92
8	9	91
9	10	92
10	11	94
11	12	91
12	13	89
13	14	86
14	14	84
15	15	82
16	16	80
17	17	78
18	18	77
19	19	76
20	19	74
21	20	73
22	21	72
23	22	71
24	23	70
25	24	69
26	25	67
27	25	66
28	27	66
29	28	65
30	29	64
31	29	63
32	30	62
33	31	61
34	32	60
35	34	61
36	35	61
37	37	60
38	38	60
39	39	58
40	39	57
41	40	55
42	41	54
43	41	53
44	42	51
45	43	50
46	44	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	48	43
53	49	42
54	50	41
55	51	40
56	52	39
57	52	38
58	53	37
59	54	36
60	55	35
61	57	35
62	58	34
63	60	33
64	61	33
65	62	32
66	64	31
67	66	31
68	67	30
69	69	29
70	71	29
71	72	28
72	73	27
73	75	26
74	76	25
75	78	24
76	79	23
77	81	23
78	83	22
79	84	21
80	86	20
81	87	19
82	89	18
83	90	17
84	92	16
85	93	15
86	94	14
87	95	12
88	96	11
89	96	10
90	97	9
91	98	8
92	99	7
93	100	6
94	100	5
95	101	4
96	102	3
97	102	2
98	103	1
99	104	0
